City,Cloudiness,Country,Date,Humidity,Max_Temp,Lat,Lng,Wind_Speed
Ponta Delgada,75,PT,1588039151,93,62.6,37.73,-25.67,6.2
Stony Plain,75,CA,1588039151,37,53.6,53.53,-114.0,3.6
Rikitea,25,PF,1588039151,82,77.144,-23.12,-134.97,6.03
Talnakh,25,RU,1588039151,85,21.2,69.49,88.4,4.0
Grindavik,75,IS,1588039152,75,41.0,63.84,-22.43,0.5
Lompoc,1,US,1588039152,67,64.994,34.64,-120.46,5.7
Mnogovershinnyy,22,RU,1588039152,81,35.222,53.94,139.92,1.34
Rapid Valley,1,US,1588039152,45,66.2,44.06,-103.15,8.2
Hong Kong,0,HK,1588039069,37,82.004,22.29,114.16,4.92
Butaritari,100,KI,1588039152,84,80.798,3.07,172.79,6.52
Iquique,90,CL,1588039124,68,66.2,-20.22,-70.14,2.6
Hilo,1,US,1588039152,58,82.4,19.73,-155.09,4.6
Xiazhen,0,CN,1588039153,28,68.27,34.8,117.11,4.78
Mataura,36,NZ,1588039153,59,60.008,-46.19,168.86,4.92
Vaini,75,TO,1588039153,74,78.80000000000001,-21.2,-175.2,6.7
Magrath,75,CA,1588039153,75,46.004000000000005,49.42,-112.87,8.2
Sovetskiy,98,RU,1588039153,90,38.894,61.36,63.58,2.53
Ribeira Grande,21,PT,1588039153,71,57.866,38.52,-28.7,6.51
Airai,49,TL,1588039153,38,71.672,-8.93,125.41,1.92
Bluff,78,NZ,1588039154,59,60.008,-46.6,168.33,4.92
Itarema,100,BR,1588039154,87,76.49600000000001,-2.92,-39.92,3.31
George Town,20,MY,1588039154,88,84.2,5.41,100.34,0.5
Punta Arenas,20,CL,1588039154,92,30.2,-53.15,-70.92,2.1
Saint Paul Harbor,1,US,1588039154,56,51.8,57.79,-152.41,3.1
Yazykovo,79,RU,1588039154,89,44.852000000000004,55.22,56.14,2.99
Oksovskiy,95,RU,1588039154,97,27.104,62.61,39.9,1.69
Busselton,45,AU,1588039154,44,64.004,-33.65,115.33,5.32
The Valley,20,AI,1588039117,69,80.6,18.22,-63.06,4.6
Provideniya,8,RU,1588039155,68,28.4,64.38,-173.3,1.0
Ushuaia,98,AR,1588039155,81,42.8,-54.8,-68.3,6.7
Mar del Plata,90,AR,1588039115,100,60.998000000000005,-38.0,-57.56,7.2
São Filipe,100,CV,1588039155,76,73.94,14.9,-24.5,3.33
Kapaa,40,US,1588039155,69,80.6,22.08,-159.32,8.7
Florián,100,CO,1588039155,63,64.05799999999999,5.8,-73.97,1.68
Cape Town,0,ZA,1588039037,87,62.006,-33.93,18.42,0.5
Kysyl-Syr,83,RU,1588039156,79,35.51,63.9,122.76,1.21
Saskylakh,43,RU,1588039156,94,21.2,71.92,114.08,0.85
Arraial do Cabo,0,BR,1588039156,69,74.174,-22.97,-42.03,1.97
Esperance,90,AU,1588039156,67,59.0,-33.87,121.9,9.8
Severo-Kuril'sk,94,RU,1588039156,93,33.152,50.68,156.12,7.19
Hengshui,0,CN,1588038950,28,74.732,37.73,115.7,7.02
Longyearbyen,75,SJ,1588039156,62,24.8,78.22,15.64,4.1
Upernavik,100,GL,1588039156,98,28.472,72.79,-56.15,5.61
Oktyabr'skoye,100,RU,1588039157,100,42.8,43.06,44.74,4.0
Lagoa,98,PT,1588039157,70,57.074,39.05,-27.98,7.1
Faanui,2,PF,1588039157,76,83.31800000000001,-16.48,-151.75,6.06
Albany,100,US,1588039016,93,39.992000000000004,42.6,-73.97,0.89
Codajás,100,BR,1588039157,97,74.858,-3.84,-62.06,0.81
Hithadhoo,100,MV,1588039157,76,83.876,-0.6,73.08,6.37
New Norfolk,91,AU,1588039158,49,66.992,-42.78,147.06,2.68
Hasaki,75,JP,1588039158,71,62.995999999999995,35.73,140.83,2.6
Weiser,20,US,1588039158,37,71.6,44.25,-116.97,1.5
Atuona,55,PF,1588039158,76,83.084,-9.8,-139.03,7.72
Santa Ana,20,US,1588038865,60,77.0,33.75,-117.87,4.6
Kiryat Gat,0,IL,1588039142,68,59.0,31.61,34.76,2.47
Kaitangata,3,NZ,1588039159,53,57.866,-46.28,169.85,3.5
Bilma,5,NE,1588039159,12,83.30000000000001,18.69,12.92,1.07
Gīdam,0,IN,1588039159,54,81.10400000000001,18.98,81.4,1.01
Maniitsoq,100,GL,1588039159,96,30.073999999999998,65.42,-52.9,4.31
Karachi,40,PK,1588038872,78,80.6,24.91,67.08,4.6
Saint-Pierre,75,RE,1588039159,78,71.6,-21.34,55.48,3.6
Thompson,75,CA,1588039160,58,30.2,55.74,-97.86,4.6
Bredasdorp,2,ZA,1588039160,82,55.400000000000006,-34.53,20.04,2.6
Kaeo,100,NZ,1588039160,72,71.99600000000001,-35.1,173.78,2.68
Port Alfred,100,ZA,1588039160,84,64.004,-33.59,26.89,3.13
Bambanglipuro,59,ID,1588039160,74,83.408,-7.95,110.28,3.98
Dikson,100,RU,1588039160,96,20.264000000000003,73.51,80.55,5.28
Mandalgovi,93,MN,1588039161,12,68.28800000000001,45.76,106.27,6.72
Jardim,0,BR,1588039161,57,73.544,-21.48,-56.14,3.47
Rognan,40,NO,1588039161,59,33.8,67.1,15.39,5.7
Norman Wells,75,CA,1588039161,54,30.2,65.28,-126.83,4.1
Barrow,90,US,1588039161,78,14.0,71.29,-156.79,5.1
Edéa,40,CM,1588039162,94,75.2,3.8,10.13,1.0
Champasak,40,LA,1588039162,61,78.80000000000001,14.75,106.0,2.1
Husavik,0,IS,1588039162,73,32.0,66.04,-17.34,1.5
Huilong,0,CN,1588039162,45,66.992,31.81,121.66,0.45
Ponta do Sol,20,PT,1588039162,59,62.6,32.67,-17.1,2.6
Arlit,7,NE,1588039162,11,85.244,18.74,7.39,1.95
Carnarvon,57,AU,1588039163,60,69.80000000000001,-24.87,113.63,10.3
Drayton Valley,93,CA,1588039163,49,46.994,53.22,-114.99,5.25
Karaton,20,ID,1588039163,78,82.994,-6.34,106.1,2.1
Raja,100,SS,1588039163,64,73.724,8.46,25.68,4.0
Camacha,20,PT,1588039163,77,60.8,33.08,-16.33,3.6
Gwadar,0,PK,1588039164,87,79.05199999999999,25.12,62.33,2.21
Aswān,4,EG,1588039164,19,79.628,24.09,32.91,3.14
Avarua,100,CK,1588039164,83,80.6,-21.21,-159.78,2.6
Merced,25,US,1588038963,39,82.004,37.17,-120.75,4.47
Pontassieve,100,IT,1588039164,93,55.994,43.77,11.43,1.0
Bengkulu,80,ID,1588039164,70,81.93199999999999,-3.8,102.27,0.84
Bousso,100,TD,1588039164,42,85.856,10.48,16.71,3.16
Ust-Kuyga,100,RU,1588039164,93,21.884,70.02,135.6,2.91
Mahébourg,75,MU,1588039165,69,75.2,-20.41,57.7,4.6
Port Elizabeth,75,ZA,1588039165,82,60.8,-33.92,25.57,2.1
Bereda,90,ES,1588039165,99,51.008,43.27,-7.54,2.68
Maria Aurora,10,PH,1588039165,56,87.25999999999999,15.8,121.47,3.11
Muros,60,ES,1588039165,87,53.006,42.78,-9.06,0.45
Umluj,0,SA,1588039165,50,74.012,25.02,37.27,0.52
Gondanglegi,100,ID,1588039166,75,82.652,-7.75,112.01,3.46
Guerrero Negro,2,MX,1588039166,77,67.208,27.98,-114.06,6.7
Contla,63,MX,1588039166,23,66.848,19.33,-98.17,1.91
Bulgan,23,MN,1588039166,36,56.948,48.81,103.53,2.46
‘Āhuimanu,40,US,1588039166,61,84.2,21.44,-157.84,5.7
East London,100,ZA,1588038955,75,65.03,-33.02,27.91,7.3
Ust-Nera,97,RU,1588039166,76,31.496,64.57,143.2,1.53
Caucaia,20,BR,1588039166,88,78.80000000000001,-3.74,-38.65,2.47
Bethel,90,US,1588039167,80,41.0,41.37,-73.41,3.1
Antalaha,20,MG,1588039167,86,74.876,-14.9,50.28,3.23
Tigil',1,RU,1588039167,91,34.07,57.8,158.67,3.26
Santa Lucía,20,ES,1588039167,77,66.2,27.91,-15.54,3.1
Hobart,40,AU,1588039167,48,66.992,-42.88,147.33,7.2
São Pedro do Sul,100,BR,1588039167,94,68.0,-29.62,-54.18,2.1
Narsaq,29,GL,1588039168,64,35.6,60.92,-46.05,1.5
Mitsamiouli,100,KM,1588039168,74,82.112,-11.38,43.28,3.12
Buraidah,0,SA,1588039168,40,68.0,26.33,43.98,1.5
Zapolyarnyy,100,RU,1588039168,79,26.6,69.42,30.81,4.1
Kramat,100,ID,1588039168,69,83.012,-8.13,113.45,1.04
Rawson,22,AR,1588038965,91,56.732,-43.3,-65.1,4.26
Cherskiy,100,RU,1588039169,98,32.468,68.75,161.3,1.02
Padang,100,ID,1588039169,63,83.426,-0.95,100.35,0.82
Ziro,91,IN,1588039169,52,57.938,27.63,93.83,0.61
Gull Lake,1,CA,1588039169,29,60.8,50.1,-108.48,9.3
Senno,12,RU,1588039169,95,28.4,59.53,33.92,1.43
Cidreira,99,BR,1588039169,82,69.962,-30.18,-50.21,10.26
Sorong,46,ID,1588039170,83,81.644,-0.88,131.25,2.66
Skierniewice,80,PL,1588039170,50,50.0,51.95,20.16,4.3
Orbetello,40,IT,1588039170,87,59.0,42.44,11.22,1.5
Mae Sot,20,TH,1588039170,78,78.80000000000001,16.72,98.57,2.13
Hermanus,24,ZA,1588039170,83,58.19,-34.42,19.23,7.4
Nikolskoye,61,RU,1588039170,86,30.2,59.7,30.79,1.07
Vila Velha,3,BR,1588039171,93,71.99600000000001,-20.33,-40.29,0.5
Ilulissat,100,GL,1588039171,92,30.2,69.22,-51.1,3.6
Sitka,90,US,1588039171,81,44.6,57.05,-135.33,6.7
Nanortalik,0,GL,1588039171,95,32.216,60.14,-45.24,1.59
Fairbanks,1,US,1588039111,30,46.4,64.84,-147.72,4.1
Alta Floresta,99,BR,1588039171,86,71.888,-9.88,-56.09,1.0
Gazli,0,UZ,1588039171,61,64.75999999999999,40.13,63.45,4.97
Clyde River,20,CA,1588039171,84,5.0,70.47,-68.59,2.6
Sioux Lookout,75,CA,1588039172,66,51.8,50.1,-91.92,2.1
San Cristobal,80,VE,1588039172,56,68.828,7.77,-72.22,0.99
Bajos de Haina,0,DO,1588039172,75,76.55000000000001,18.42,-70.03,1.1
Port-Gentil,84,GA,1588039172,77,81.446,-0.72,8.78,2.52
Nome,90,US,1588038874,79,26.996000000000002,64.5,-165.41,3.1
Havre-St-Pierre,1,CA,1588039172,78,32.0,50.23,-63.6,3.1
Tuktoyaktuk,40,CA,1588039172,78,15.8,69.45,-133.04,7.7
Solton,77,RU,1588039173,67,60.602000000000004,52.84,86.48,1.62
Poum,0,NC,1588039173,68,78.638,-20.23,164.02,6.41
Kieta,0,PG,1588039173,62,87.368,-6.22,155.63,2.56
Cujmir,0,RO,1588039173,59,48.452,44.21,22.93,0.94
Lüderitz,0,NA,1588039173,82,59.0,-26.65,15.16,3.6
Ensley,1,US,1588039173,52,69.80000000000001,30.52,-87.27,4.1
Yellowknife,75,CA,1588039150,59,37.004,62.46,-114.35,7.2
Stargard,100,PL,1588039174,61,51.008,53.34,15.05,2.6
Quatre Cocos,75,MU,1588039174,69,75.2,-20.21,57.76,4.6
Vágur,83,FO,1588039174,68,42.278,61.47,-6.81,9.91
Ahipara,100,NZ,1588039174,73,66.72200000000001,-35.17,173.17,4.68
Leningradskiy,1,RU,1588039174,90,30.596,69.38,178.42,1.29
Ilebo,100,CD,1588039174,86,71.186,-4.32,20.58,0.34
Lorengau,71,PG,1588039174,69,86.28800000000001,-2.02,147.27,3.82
Camaná,61,PE,1588039174,79,67.532,-16.62,-72.71,3.87
Wanning,17,CN,1588039175,67,77.882,18.8,110.4,3.23
Morristown,1,US,1588038955,54,55.400000000000006,36.21,-83.29,1.14
Gomel,11,BY,1588039175,69,37.4,52.43,30.98,2.0
Jamestown,1,US,1588038978,42,46.4,42.1,-79.24,1.5
Burla,0,IN,1588039175,57,79.34,21.5,83.87,1.19
Sistranda,0,NO,1588039175,65,41.0,63.73,8.83,4.1
Homer,1,US,1588039175,45,48.2,59.64,-151.55,6.7
Mackay,75,AU,1588039175,88,78.99799999999999,-21.15,149.2,5.7
Klaksvík,99,FO,1588039176,80,39.2,62.23,-6.59,3.6
Bambous Virieux,75,MU,1588039176,69,75.2,-20.34,57.76,4.6
Luanda,75,AO,1588039127,88,77.0,-8.84,13.23,5.7
Manama,0,BH,1588039176,50,77.0,26.22,50.58,3.1
Kruisfontein,100,ZA,1588039176,84,54.68,-34.0,24.73,1.6
Mount Isa,0,AU,1588038980,27,86.0,-20.73,139.5,5.7
Pishin,30,PK,1588039176,23,69.08000000000001,30.58,67.0,1.06
Popondetta,53,PG,1588039177,64,87.584,-8.75,148.25,2.07
Saint-Philippe,75,RE,1588039177,78,73.4,-21.36,55.77,3.6
Tiksi,100,RU,1588039177,91,21.2,71.69,128.87,0.39
Nioro,72,GM,1588039177,25,80.20400000000001,13.35,-15.75,3.62
Rincon,20,US,1588038986,55,64.4,32.3,-81.24,0.12
Wum,73,CM,1588039178,67,64.904,6.38,10.07,1.24
Sakaiminato,20,JP,1588039178,54,59.0,35.55,133.23,3.1
Zhigansk,68,RU,1588039178,92,27.302,66.77,123.37,1.9
Vanavara,77,RU,1588039178,44,54.284000000000006,60.34,102.28,4.26
Ancud,40,CL,1588039178,100,55.994,-41.87,-73.82,3.6
Shimoda,40,JP,1588039178,72,60.8,34.67,138.95,2.6
Broome,90,US,1588039179,93,39.992000000000004,42.25,-75.83,3.6
Cabo San Lucas,40,MX,1588039179,19,89.6,22.89,-109.91,4.1
Pringsewu,49,ID,1588039179,80,80.294,-5.36,104.97,2.27
Edirne,0,TR,1588039179,87,46.166,41.68,26.56,1.09
Tabat,100,ID,1588039179,92,79.178,-2.63,115.23,1.77
Henties Bay,0,NA,1588039179,96,55.994,-22.12,14.28,2.51
Los Llanos de Aridane,75,ES,1588039179,72,66.2,28.66,-17.92,3.1
Cassilândia,7,BR,1588039180,72,67.49600000000001,-19.11,-51.73,1.47
Kitui,53,KE,1588039180,71,62.257999999999996,-1.37,38.01,1.3
Paita,86,PE,1588038996,76,71.672,-5.09,-81.11,7.05
Oistins,40,BB,1588039041,69,80.6,13.07,-59.53,8.7
North Bend,90,US,1588039180,93,57.2,43.41,-124.22,4.1
Marzuq,53,YE,1588039180,49,74.804,14.4,46.47,2.24
Inhambane,0,MZ,1588039180,72,68.864,-23.86,35.38,1.14
Misrikh,0,IN,1588039181,40,82.47200000000001,27.45,80.52,2.59
Winneba,54,GH,1588039181,88,80.6,5.35,-0.62,0.5
Włodawa,100,PL,1588039181,67,39.2,51.55,23.55,1.0
Puerto Ayora,72,EC,1588039181,89,78.008,-0.74,-90.35,2.68
Tuatapere,90,NZ,1588039181,59,60.008,-46.13,167.68,4.92
Talara,56,PE,1588039181,79,72.01400000000001,-4.58,-81.27,7.81
Port-Cartier,5,CA,1588039181,63,33.998,50.03,-66.87,1.5
Atbasar,100,KZ,1588039182,84,56.965999999999994,51.8,68.33,1.17
Matagami,90,CA,1588039182,33,42.8,49.75,-77.63,3.1
Kajiado,20,KE,1588039182,100,59.0,-1.85,36.78,1.5
Taltal,0,CL,1588039182,62,64.346,-25.4,-70.48,2.52
Pochutla,60,MX,1588039182,61,80.06,15.74,-96.47,1.99
Lastoursville,100,GA,1588039182,88,72.71600000000001,-0.81,12.73,0.22
Qaanaaq,100,GL,1588039182,93,21.002,77.48,-69.36,3.9
Road Town,81,VG,1588039153,84,80.006,18.42,-64.62,0.45
Lebu,7,CL,1588039183,90,53.834,-37.62,-73.65,3.5
Port Keats,54,AU,1588039183,44,87.81800000000001,-14.25,129.55,2.56
Rome,90,US,1588038962,75,42.8,43.21,-75.46,1.31
Ghanzi,65,BW,1588039183,30,68.53999999999999,-21.57,21.78,3.69
Nemuro,20,JP,1588039183,43,51.8,43.32,145.57,6.2
Comodoro Rivadavia,2,AR,1588039183,82,55.400000000000006,-45.87,-67.5,2.1
Pevek,100,RU,1588039184,97,26.222,69.7,170.31,4.01
Makakilo City,75,US,1588039184,65,84.2,21.35,-158.09,4.6
Srednekolymsk,100,RU,1588039184,98,32.9,67.45,153.68,1.84
Del Rio,75,US,1588039052,60,87.80000000000001,29.36,-100.9,13.4
Tasiilaq,100,GL,1588039184,92,34.952,65.61,-37.64,7.08
Torbay,90,CA,1588039184,80,33.998,47.67,-52.73,2.1
Mount Gambier,100,AU,1588039184,67,59.0,-37.83,140.77,7.7
Pisco,63,PE,1588039185,72,69.008,-13.7,-76.22,8.2
Vardø,100,NO,1588039185,93,28.724,70.37,31.11,5.37
Namatanai,100,PG,1588039185,67,86.30600000000001,-3.67,152.43,1.04
Zonguldak,0,TR,1588039185,73,41.9,41.25,31.83,1.42
Alice Springs,88,AU,1588039088,24,89.6,-23.7,133.88,6.2
Kamaishi,75,JP,1588039185,50,51.8,39.27,141.88,1.5
Faya,28,SA,1588039186,67,64.4,18.39,42.45,0.43
Nan,90,TH,1588039186,83,75.2,18.83,100.67,1.5
Coruripe,91,BR,1588039186,85,77.55799999999999,-10.13,-36.18,2.13
Casalpusterlengo,100,IT,1588039186,78,60.998000000000005,45.18,9.65,1.11
Sinnamary,61,GF,1588039186,84,77.36,5.38,-52.95,4.3
Anyama,76,CI,1588039186,94,78.80000000000001,5.49,-4.05,0.5
Bandarbeyla,47,SO,1588039186,75,82.976,9.49,50.81,4.96
Almaznyy,59,RU,1588039186,70,42.8,48.04,40.05,3.0
Paamiut,45,GL,1588039187,97,30.488,61.99,-49.67,3.9
La Mesa,5,US,1588038948,56,73.994,32.77,-117.02,3.6
Kavieng,25,PG,1588039187,70,85.712,-2.57,150.8,2.55
Vavuniya,100,LK,1588039187,85,79.916,8.75,80.5,0.91
Kathmandu,0,NP,1588039014,42,66.03800000000001,27.72,85.32,0.28
San Jerónimo,87,PE,1588039187,29,47.696,-11.95,-75.28,1.31
Okha,65,RU,1588039187,84,35.474,53.57,142.95,1.31
Sola,84,VU,1588039187,77,81.626,-13.88,167.55,4.02
Bilibino,100,RU,1588039188,89,30.722,68.05,166.44,1.24
Zhangjiakou,0,CN,1588039188,16,65.894,40.81,114.88,1.63
Muscat,15,OM,1588039188,70,86.0,23.61,58.59,6.2
São João da Barra,0,BR,1588039188,72,70.574,-21.64,-41.05,2.13
Gravdal,1,NO,1588039188,85,33.944,68.12,13.5,4.55
Constitución,91,CL,1588039188,88,56.408,-35.33,-72.42,1.38
Iquitos,40,PE,1588039189,88,78.80000000000001,-3.75,-73.25,0.57
Salalah,20,OM,1588039189,83,82.4,17.02,54.09,2.1
Dakar,0,SN,1588039189,88,69.80000000000001,14.69,-17.44,5.1
Imbituba,75,BR,1588039189,78,73.4,-28.24,-48.67,4.6
Krasnoarmeysk,63,RU,1588039189,86,46.994,51.02,45.7,0.45
Tahe,0,CN,1588039189,32,54.932,52.33,124.73,4.85
Lensk,100,RU,1588039189,70,49.01,60.73,114.93,6.01
Williston,100,US,1588039190,32,64.994,48.15,-103.62,1.34
Hobyo,85,SO,1588039190,79,83.804,5.35,48.53,6.1
Te Anau,95,NZ,1588039190,55,54.752,-45.42,167.72,2.88
Khatanga,100,RU,1588039190,97,18.914,71.97,102.5,5.11
Khandyga,100,RU,1588039190,93,30.362,62.67,135.6,1.78
